LGA NAME,Earners,Median Age of Earners,Sum,Median,Mean,P80/P20,P80/P50,P20/P50,P10/P50,Gini coefficient,Top 1%,Top 5%,Top 10%,Lowest Quartile,Second Quartile,Third Quartile,Highest Quartile
Alpine,7546,49,358183434,38607,47467,5.37,1.9,0.35,0.14,0.466,6.5,19.1,30.2,31.8,29.9,23.1,15.2
Ararat,6215,47,307736470,43190,49515,5.22,1.78,0.34,0.13,0.454,6.2,17.8,28.8,29.3,28.3,25.9,16.5
Ballarat,57540,43,3329907939,47859,57871,4.66,1.78,0.38,0.16,0.453,8.4,20.3,30.8,25.2,26.8,26.8,21.2
Banyule,76202,43,5371975506,54519,70497,5.19,1.89,0.37,0.16,0.479,9.4,22.1,33.2,23.4,22.7,24,30
Bass Coast,18630,49,875534430,37559,46996,5.65,1.92,0.34,0.13,0.482,6.6,20,31.7,33.4,30,21.8,14.8
Baw Baw,29050,46,1566202330,44473,53914,5.17,1.88,0.36,0.14,0.463,6,18.7,30,27.9,27.5,24.4,20.2
Bayside,65596,48,6928788067,61075,105628,7.29,2.35,0.32,0.14,0.59,15.2,32.6,44.5,23.3,19.6,18.4,38.7
Benalla,7673,50,366391060,41382,47751,5.49,1.8,0.33,0.11,0.462,5.8,17.9,29,30.9,28.4,25.4,15.3
Boroondara,115441,45,11246716259,58284,97424,7.36,2.27,0.31,0.12,0.587,14.1,31.7,43.9,25.1,19.3,19.2,36.4
Brimbank,104733,39,5346002556,44657,51044,4.29,1.73,0.4,0.19,0.418,5.3,16.7,27.4,26.7,29.2,27.5,16.5
Buloke,3456,51,173789186,40377,50286,6.46,1.94,0.3,0.09,0.501,6.7,20.5,32,33.1,25,24.3,17.6
Campaspe,21378,47,1058662664,43348,49521,5.05,1.77,0.35,0.13,0.449,5.8,17.5,28.4,28.8,28.3,26.6,16.3
Cardinia,58503,40,3359605863,49998,57426,4.04,1.71,0.42,0.2,0.414,6,17.2,27.6,22.2,27.5,29,21.2
Casey,179915,39,10016226368,48849,55672,3.94,1.68,0.43,0.22,0.406,6,17,27.3,22.6,28.5,29.8,19.1
Central Goldfields,5839,48,254981439,38497,43669,5.49,1.74,0.32,0.12,0.445,5.8,17.5,28.3,32.1,31.6,25.1,11.2
Colac-Otway,13013,46,632075420,42658,48573,5.05,1.73,0.34,0.12,0.451,6.4,18.1,28.9,29.2,28.5,27.7,14.5
Corangamite,9323,48,432102045,39678,46348,5.69,1.85,0.32,0.12,0.491,6.2,18.7,30.1,32,28.7,23.9,15.4
Darebin,88353,38,5612703509,51258,63526,4.75,1.84,0.39,0.19,0.449,6.9,19.4,30.4,23.6,25,25.3,26.2
East Gippsland,24252,50,1111696970,38352,45839,5.67,1.85,0.33,0.11,0.475,6.5,19,30.4,32.7,30.1,23,14.2
Frankston,78476,42,4506323021,50037,57423,4.17,1.71,0.41,0.19,0.415,5.8,17.1,27.6,22.8,26.9,29.1,21.2
Gannawarra,5689,49,263403941,39492,46301,5.74,1.81,0.32,0.09,0.497,7.6,20.2,31.5,31.4,30.4,24.5,13.8
Glen Eira,92499,42,7089188944,55256,76641,5.7,2.02,0.35,0.15,0.508,9.8,23.9,35.7,23.9,21.7,22.1,32.2
Glenelg,10907,48,583764382,44647,53522,5.37,1.9,0.35,0.13,0.453,5.6,17.3,28.2,27.9,26.7,24.1,21.3
Golden Plains,13317,45,757415343,48650,56876,4.54,1.78,0.39,0.16,0.436,6.3,17.7,28.4,24.6,26.6,26.9,21.9
Greater Bendigo,63107,44,3473446346,47061,55041,4.62,1.76,0.38,0.16,0.436,6.4,18.1,28.8,25.5,27.5,27.1,19.8
Greater Dandenong,82443,37,3869456441,41408,46935,4.14,1.68,0.41,0.19,0.419,6,17.1,27.7,28.6,31.9,26.9,12.6
Greater Geelong,138982,43,8243482999,48258,59313,4.83,1.83,0.38,0.16,0.456,7.6,20,30.9,25.3,26.3,25.7,22.7
Greater Shepparton,35982,43,1845930547,44307,51301,4.67,1.75,0.38,0.16,0.442,6.3,18.2,28.8,27.7,28.3,27,17
Hepburn,8527,50,434380643,40005,50942,5.57,1.92,0.34,0.12,0.497,8.4,21.8,33.2,31.5,28.3,23.3,16.9
Hindmarsh,3029,50,170733395,46228,56366,4.92,1.75,0.36,0.14,0.471,8,21.5,32.6,26.5,27.5,27.1,18.9
Hobsons Bay,53219,41,3744275831,56246,70356,4.68,1.84,0.39,0.19,0.452,7.3,19.8,31,21.2,23,25.5,30.3
Horsham,11783,46,622446508,46597,52826,4.58,1.72,0.38,0.14,0.43,5.7,17.3,27.9,26,27.6,28.2,18.1
Hume,108651,38,5850978383,47083,53851,4.1,1.71,0.42,0.21,0.412,5.3,16.6,27.1,24.5,28.4,28.6,18.5
Indigo,9787,49,513227941,46075,52440,5.1,1.77,0.35,0.12,0.444,5.4,17.1,27.9,27.1,26.4,27.3,19.1
Kingston,94050,43,6060821430,52380,64443,4.83,1.84,0.38,0.17,0.453,7.2,19.5,30.6,23.5,24,25.6,26.8
Knox,96219,43,5598372417,49534,58184,4.61,1.78,0.39,0.17,0.435,5.9,17.7,28.6,24.4,25.9,27.1,22.7
Latrobe,38088,44,2243414498,47488,58901,5.03,1.89,0.38,0.15,0.457,6.2,18.8,30.3,25.6,26.7,24.3,23.4
Loddon,3843,51,185548696,40186,48282,6.2,1.85,0.3,0.1,0.491,6.5,20.4,32,32.1,28.9,23.7,15.2
Macedon Ranges,28586,46,1924641846,52378,67328,5.24,1.93,0.37,0.15,0.477,7.8,20.8,32.2,24.2,23.7,23.4,28.7
Manningham,74564,47,4978895268,45855,66773,6.53,2.15,0.33,0.12,0.533,10.8,25,37.2,29.4,23.5,20.6,26.4
Mansfield,5214,50,246540901,38450,47284,5.25,1.9,0.36,0.13,0.471,5.8,18.9,30.6,31.8,30.4,22.7,15.2
Maribyrnong,51991,36,3296907412,52337,63413,4.71,1.83,0.39,0.19,0.438,6,18.2,29.3,23,24.6,25.8,26.6
Maroondah,67661,43,4095601127,50897,60531,4.77,1.81,0.38,0.16,0.437,5.7,17.6,28.7,24,24.9,26.2,24.9
Melbourne,93580,32,6537904268,45832,69864,7.09,2.11,0.3,0.12,0.564,15.3,29.8,41.1,31.4,21.4,21,26.2
Melton,78446,39,4529782233,51292,57744,3.93,1.68,0.43,0.22,0.396,5.1,15.8,26.1,21.4,26.9,29.9,21.8
Mildura,30092,43,1528217083,44017,50785,4.56,1.74,0.38,0.16,0.448,6.5,18.5,29.1,27.1,29.7,27,16.2
Mitchell,23844,42,1348282195,49954,56546,4.14,1.71,0.41,0.19,0.41,5.3,16.3,26.7,22.8,27.1,29.1,21.1
Moira,15885,47,743766238,40902,46822,5.63,1.83,0.32,0.11,0.469,5.7,17.6,28.7,30.9,28.7,25.1,15.3
Monash,110654,42,6627453117,45134,59893,6.46,2.05,0.32,0.11,0.503,8.2,21.6,33.5,30.3,23.5,21.9,24.3
Moonee Valley,74119,41,5447065852,56666,73491,5.13,1.88,0.37,0.17,0.476,8.5,21.7,33.1,22.3,22,24.5,31.3
Moorabool,19247,44,1190388808,51953,61848,4.52,1.77,0.39,0.18,0.436,7.3,18.4,29,22.8,25,27.2,25
Moreland,102635,36,6406247194,51883,62418,4.68,1.82,0.39,0.19,0.436,6.1,18,28.9,23.3,24.7,25.9,26.1
Mornington Peninsula,93977,48,5855075189,45701,62303,5.31,1.97,0.37,0.15,0.501,10.2,23.9,35.3,27,26.8,23,23.3
Mount Alexander,10112,50,510813083,41890,50516,6.23,1.9,0.31,0.11,0.474,6.4,18.9,30.2,31.3,26.4,23.9,18.3
Moyne,10000,47,515395978,43405,51540,4.9,1.81,0.37,0.13,0.463,6.6,18.9,29.8,28.3,28.1,25.9,17.7
Murrindindi,8097,49,396279428,40116,48942,5.6,1.9,0.34,0.12,0.49,7,19.8,31.3,31.8,28.2,23.5,16.5
Nillumbik,40468,46,2933926776,55611,72500,5.2,1.92,0.37,0.17,0.474,8.2,21.2,32.6,22.5,23,22.9,31.6
Northern Grampians,6431,48,310958962,42116,48353,5.33,1.77,0.33,0.12,0.45,5.7,17.8,28.7,30.3,28,26.5,15.3
Port Phillip,74695,37,6740046796,62315,90234,5.32,1.96,0.37,0.18,0.525,12.9,27.8,39,20.4,19.8,23.3,36.4
Pyrenees,3620,49,167001850,38503,46133,6.15,1.88,0.31,0.1,0.504,7.1,19.8,31.3,33.6,28.1,23.7,14.7
Queenscliffe,1990,59,124318219,39498,62471,8.76,2.38,0.27,0.1,0.573,12.7,27.5,39.8,35.6,21.8,18,24.6
South Gippsland,16512,49,798513721,39315,48360,5.75,1.93,0.34,0.12,0.487,6.3,19.3,30.9,32.3,28.1,23,16.5
Southern Grampians,9550,48,500022476,42821,52358,5.16,1.82,0.35,0.13,0.484,9.6,21.7,32.6,28.7,29.2,25,17.1
Stonnington,76418,38,8308673374,64514,108727,5.93,2.08,0.35,0.16,0.59,18.2,35.3,46.3,20.7,18.7,22.1,38.5
Strathbogie,5980,51,291570482,41407,48758,5.66,1.81,0.32,0.09,0.489,6.7,19.8,31.2,31.1,28.2,25.1,15.6
Surf Coast,20093,46,1293284909,48467,64365,5.59,1.98,0.35,0.14,0.498,9.1,22.5,34,26.5,24.6,22.3,26.6
Swan Hill,11730,44,623050480,45151,53116,4.57,1.73,0.38,0.17,0.455,7.3,19.9,30.7,26.6,29.1,27.1,17.2
Towong,3661,52,172783418,39341,47196,5.66,1.88,0.33,0.11,0.481,6.8,19,30.3,32.3,28.1,24.1,15.5
Wangaratta,16474,47,848172946,43804,51486,5.08,1.78,0.35,0.13,0.456,7.7,19.3,29.9,28.2,28.5,26,17.3
Warrnambool,20445,43,1187429858,46605,58079,4.52,1.74,0.38,0.17,0.465,11.7,23,32.9,25.8,27.7,27.9,18.6
Wellington,23056,47,1239156904,43267,53746,5.67,1.93,0.34,0.12,0.495,6.3,20.2,32,29.4,27,23.5,20.1
West Wimmera,2361,51,125310557,43252,53075,5.41,1.95,0.36,0.12,0.497,6.1,19.7,31.3,28.5,27.9,23.9,19.8
Whitehorse,100215,43,6237745057,46165,62244,6.52,2.08,0.32,0.12,0.505,8,21.8,33.8,29.6,23.1,21.4,25.9
Whittlesea,113717,38,6256935538,48592,55022,4.08,1.7,0.42,0.21,0.402,4.9,15.8,26.3,23.2,28.1,28.9,19.7
Wodonga,23169,42,1266517794,49253,54664,4.09,1.66,0.41,0.18,0.403,5.3,16.1,26.2,23.3,27.3,30.3,19.1
Wyndham,134914,37,7778755537,50282,57657,4.25,1.73,0.41,0.2,0.412,5,16.3,27,23,26.4,28.4,22.2
Yarra,62165,35,5208248204,63503,83781,4.83,1.85,0.38,0.19,0.483,9.5,23.6,34.7,19.4,19.9,24.5,36.2
Yarra Ranges,91872,44,5410097846,49136,58887,4.45,1.78,0.4,0.18,0.439,7,18.8,29.5,23.8,26.9,26.9,22.4
Yarriambiack,3624,51,210661274,45898,58129,5.5,1.85,0.34,0.14,0.485,7,21.4,33,27.8,25.8,25.3,21.2
